Country Name,ISO,growth196169,growth197079,growth198089,growth199099,growth200009,growth20102012
Georgia,GEO,5.76,6.78,1.80,-9.02,5.89,6.40
Ghana,GHA,2.30,1.45,1.99,4.27,5.42,10.31
Guinea,GIN,,,4.54,4.09,2.68,3.26
"Gambia, The",GMB,4.00,4.96,3.94,3.11,3.80,2.50
Guinea-Bissau,GNB,,3.21,2.91,1.30,2.77,-0.07
Equatorial Guinea,GNQ,,,0.88,20.22,17.76,1.92
Greece,GRC,7.62,5.43,0.78,1.91,3.04,-6.14
Grenada,GRD,,5.71,5.00,3.51,2.27,0.51
Greenland,GRL,,6.45,3.17,-0.02,1.66,
Guatemala,GTM,5.50,5.86,0.97,4.07,3.42,3.36
Guam,GUM,,,,,,
Guyana,GUY,3.66,1.67,-2.80,4.79,0.90,4.87
High income,HIC,5.55,3.72,3.01,2.46,1.85,2.13
"Hong Kong SAR, China",HKG,4.53,9.00,7.43,3.64,4.22,4.38
Honduras,HND,4.92,5.77,2.51,2.76,4.36,3.81
Heavily indebted poor countries (HIPC),HPC,3.52,3.40,1.76,2.27,4.81,4.78
Croatia,HRV,,,,3.35,3.12,-1.44
Haiti,HTI,,,,2.70,0.75,1.00
Hungary,HUN,10.03,5.43,1.53,-0.40,2.32,0.39
Indonesia,IDN,3.74,7.82,6.38,4.83,5.11,6.31
Isle of Man,IMN,,,9.62,6.09,6.15,
India,IND,3.91,2.93,5.69,5.77,6.90,7.21
Not classified,INX,,,,,,
Ireland,IRL,,4.94,3.11,7.27,3.70,0.42
"Iran, Islamic Rep.",IRN,11.62,6.16,-0.31,4.64,5.14,2.33
Iraq,IRQ,,,,,4.98,8.58
Iceland,ISL,4.46,6.55,3.24,2.27,3.12,-0.01
Israel,ISR,9.09,5.81,3.66,5.55,3.80,4.53
Italy,ITA,5.77,4.02,2.55,1.44,0.58,-0.11
Jamaica,JAM,4.38,1.22,1.73,2.16,-0.30,-0.08
Jordan,JOR,,15.24,3.98,4.90,6.52,2.51
Japan,JPN,10.44,4.11,4.37,1.47,0.56,2.01
Kazakhstan,KAZ,,,,-4.81,8.58,6.60
Kenya,KEN,5.72,7.16,4.22,2.24,3.65,4.91
Kyrgyz Republic,KGZ,,,6.43,-3.42,4.75,1.53
Cambodia,KHM,,,,7.25,8.34,6.76
Kiribati,KIR,,4.38,-2.98,3.12,2.29,1.68
St. Kitts and Nevis,KNA,,8.28,6.06,4.11,2.58,2.22
"Korea, Rep.",KOR,8.25,8.29,7.68,6.25,4.39,4.02
Kosovo,KSV,,,,,6.98,3.47
Kuwait,KWT,5.67,2.32,-0.80,7.46,5.55,3.37
Latin America & Caribbean (developing only),LAC,5.67,6.26,2.06,2.73,3.04,4.34
Lao PDR,LAO,,,4.14,6.27,6.85,8.25
Lebanon,LBN,,,-42.45,9.68,4.63,3.80
Liberia,LBR,4.72,2.97,-4.49,1.17,10.10,10.10
Libya,LBY,,,,,4.32,
St. Lucia,LCA,,,5.85,5.51,2.32,0.71
Latin America & Caribbean (all income levels),LCN,5.61,6.06,2.13,2.89,2.99,4.28
Least developed countries: UN classification,LDC,,,2.62,3.00,6.36,4.78
Low income,LIC,5.06,2.33,2.71,2.53,5.12,6.23
Liechtenstein,LIE,,3.04,4.32,5.70,2.00,
Sri Lanka,LKA,4.67,4.23,4.15,5.26,5.00,7.56
Lower middle income,LMC,4.15,4.81,4.03,3.25,5.81,5.95
Low & middle income,LMY,5.13,5.67,3.41,3.79,5.78,6.28
Lesotho,LSO,5.54,8.50,2.99,3.89,3.80,5.19
Lithuania,LTU,,,,-3.38,4.81,3.68
Luxembourg,LUX,3.47,2.75,4.56,4.76,3.16,1.61
Latvia,LVA,6.83,5.36,3.91,-3.49,4.79,3.32
"Macao SAR, China",MAC,,,7.57,3.01,9.94,19.75
St. Martin (French part),MAF,,,,,,
Morocco,MAR,6.36,5.34,3.91,2.78,4.74,4.53
Monaco,MCO,,3.93,2.31,1.86,4.69,
Moldova,MDA,,,3.25,-9.45,4.71,4.24
Madagascar,MDG,2.78,1.51,0.37,1.62,3.20,1.83
Maldives,MDV,,,,,7.85,5.84
Middle East & North Africa (all income levels),MEA,9.82,9.22,1.19,4.21,4.94,4.86
Mexico,MEX,6.84,6.43,2.29,3.62,1.84,4.28
Marshall Islands,MHL,,,7.24,0.80,1.81,2.77
Middle income,MIC,5.18,5.77,3.43,3.82,5.80,6.28
"Macedonia, FYR",MKD,,,,-1.41,2.79,1.82
Mali,MLI,1.97,5.21,0.56,3.58,5.75,2.71
Malta,MLT,,10.32,4.02,5.26,1.95,1.84
Myanmar,MMR,3.03,4.38,1.94,6.12,12.92,
Middle East & North Africa (developing only),MNA,8.03,6.36,1.92,3.95,4.52,3.32
Montenegro,MNE,,,,-2.25,3.77,1.73
Mongolia,MNG,,,5.99,-0.33,6.02,12.05
Northern Mariana Islands,MNP,,,,,,
Mozambique,MOZ,,,0.44,5.55,7.20,7.27
Mauritania,MRT,8.15,2.65,2.21,2.85,4.57,5.54
Mauritius,MUS,,4.63,4.32,5.16,4.27,3.73
Malawi,MWI,5.30,6.25,1.72,4.13,4.04,-1.10
Malaysia,MYS,6.55,7.73,5.88,7.25,4.79,6.06
North America,NAC,4.72,3.59,3.13,3.18,1.83,2.38
Namibia,NAM,,,1.11,4.14,4.32,5.66
New Caledonia,NCL,7.88,4.98,4.96,1.82,2.10,
Niger,NER,2.88,2.16,0.04,1.88,3.64,7.17
Nigeria,NGA,2.85,7.00,-1.42,2.63,8.93,6.41
Nicaragua,NIC,7.45,0.66,-0.77,3.00,3.09,4.76
Netherlands,NLD,5.39,3.38,2.15,3.20,1.60,0.41
High income: nonOECD,NOC,,,,0.34,4.75,4.91
Norway,NOR,4.44,4.44,2.79,3.58,1.77,1.57
Nepal,NPL,2.52,2.60,4.09,4.84,4.06,4.36
New Zealand,NZL,,1.92,2.04,2.83,2.71,1.85
High income: OECD,OEC,5.53,3.59,3.01,2.59,1.66,1.91
OECD members,OED,5.57,3.66,2.99,2.62,1.69,2.03
Oman,OMN,22.82,6.85,9.83,4.09,4.93,5.03
Other small states,OSS,,,4.25,4.42,4.61,4.56
Pakistan,PAK,6.79,4.84,6.86,3.98,4.49,2.80
Panama,PAN,8.08,4.71,0.88,5.63,5.91,9.66
Peru,PER,5.25,3.94,0.35,3.24,5.13,7.34
Philippines,PHL,5.06,5.79,2.01,2.75,4.46,6.03
Palau,PLW,,,,1.10,0.08,3.67
Papua New Guinea,PNG,6.44,3.89,1.36,4.31,2.77,8.33
Poland,POL,,,,3.81,3.95,3.45
Puerto Rico,PRI,7.85,5.79,3.39,3.99,0.60,-0.05
"Korea, Dem. Rep.",PRK,,,,,,
Portugal,PRT,6.05,5.62,3.35,2.99,0.90,-0.85
Paraguay,PRY,5.07,8.32,4.92,3.09,2.00,5.41
Pacific island small states,PSS,,,1.00,2.96,1.46,2.16
French Polynesia,PYF,4.27,5.39,5.61,2.18,4.00,
Qatar,QAT,,,,,12.72,12.35
Romania,ROU,,,1.51,-2.28,4.74,0.57
Russian Federation,RUS,,,,-4.91,5.48,4.08
Rwanda,RWA,2.63,5.27,3.23,2.09,8.15,7.81
South Asia,SAS,4.13,3.01,5.59,5.46,6.52,6.77
Saudi Arabia,SAU,6.04,14.24,-0.61,3.10,5.15,7.04
Sudan,SDN,1.22,4.28,3.39,4.41,6.62,-3.31
Senegal,SEN,1.26,3.02,2.39,2.72,4.01,3.26
Singapore,SGP,8.84,9.45,7.81,7.31,5.18,7.09
Solomon Islands,SLB,,,,4.62,1.55,6.63
Sierra Leone,SLE,3.80,2.69,1.13,-2.62,6.82,8.90
El Salvador,SLV,4.83,3.90,-1.95,4.89,1.98,1.84
San Marino,SMR,,3.88,2.55,5.32,3.13,
Somalia,SOM,1.10,5.05,1.65,-1.48,,
Serbia,SRB,,,,-5.95,4.14,0.31
Sub-Saharan Africa (developing only),SSA,4.57,4.17,1.74,1.95,5.06,4.49
South Sudan,SSD,,,,,4.31,-13.92
Sub-Saharan Africa (all income levels),SSF,4.57,4.17,1.74,1.98,5.14,4.46
Small states,SST,,,2.12,3.40,4.10,3.08
Sao Tome and Principe,STP,,,,,4.40,4.48
Suriname,SUR,,2.03,-1.37,0.69,4.47,4.46
Slovak Republic,SVK,,,2.65,0.02,4.56,2.99
Slovenia,SVN,,,,1.66,3.07,-0.14
Sweden,SWE,4.45,2.40,2.30,1.75,1.99,3.47
Swaziland,SWZ,,5.68,8.58,4.88,2.27,0.22
Sint Maarten (Dutch part),SXM,,,,,,
Seychelles,SYC,3.19,9.20,2.66,4.91,2.00,5.56
Syrian Arab Republic,SYR,6.82,8.83,2.84,5.66,4.78,
Turks and Caicos Islands,TCA,,,,,,
Chad,TCD,0.96,-1.03,5.38,2.22,9.61,7.51
Togo,TGO,9.05,3.20,2.62,2.62,1.70,4.81
Thailand,THA,8.60,7.51,7.29,5.28,4.06,4.79
Tajikistan,TJK,,,2.43,-9.28,8.38,7.13
Turkmenistan,TKM,,,3.38,1.17,7.42,11.67
Timor-Leste,TLS,,,,,6.39,7.37
Tonga,TON,,,2.33,2.35,1.43,2.35
Trinidad and Tobago,TTO,4.97,4.64,-1.27,2.74,6.38,0.04
Tunisia,TUN,5.39,7.18,3.56,5.08,4.65,1.53
Turkey,TUR,5.65,4.70,4.10,3.98,3.77,6.72
Tuvalu,TUV,,,,3.75,1.21,1.97
Tanzania,TZA,,,3.76,3.27,6.75,6.78
Uganda,UGA,,,3.01,6.88,7.18,5.30
Ukraine,UKR,,,3.22,-8.89,4.72,3.20
Upper middle income,UMC,5.53,6.05,3.24,4.00,5.80,6.37
Uruguay,URY,1.30,2.70,0.71,3.70,1.98,6.47
United States,USA,4.66,3.54,3.14,3.25,1.81,2.38
Uzbekistan,UZB,,,6.11,-0.30,6.48,8.33
St. Vincent and the Grenadines,VCT,0.71,4.05,5.77,3.55,3.18,-0.12
"Venezuela, RB",VEN,4.81,3.97,-0.16,2.46,3.98,2.77
Virgin Islands (U.S.),VIR,,5.17,3.34,,,
Vietnam,VNM,,,4.54,7.42,6.65,5.97
Vanuatu,VUT,,,2.47,4.01,3.43,1.77
West Bank and Gaza,PSE,,,,8.48,-1.97,
World,WLD,5.49,3.96,3.06,2.66,2.61,3.10
Samoa,WSM,,,1.98,1.39,3.52,1.57
"Yemen, Rep.",YEM,,,,5.62,4.13,-0.88
South Africa,ZAF,6.08,3.25,2.24,1.39,3.66,3.03
"Congo, Dem. Rep.",COD,3.73,0.27,1.81,-5.47,3.55,7.07
Zambia,ZMB,3.80,1.63,1.44,0.37,5.21,7.23
Zimbabwe,ZWE,4.68,4.13,5.22,2.91,-5.78,8.20
